序号,类别,抽取结果,原文依据,来源URL,判定,说明
11,实体·事件,中央政法工作会议召开（事件）,中央政法工作会议召开。习近平讲话强调，要把维护社会大局稳定作为基本任务，把促进社会公平正义作为核心价值追求，把保障人民安居乐业作为根本目标，坚持严格执法公正司法，深化司法体制改革，加强和改进政法工作。 中央政法工作会议召开。习近平讲话指出，,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
12,实体·文献,当今世界的三个大问题（文献）,江泽民在会见联合国秘书长安南时，谈到当前国际局势的基本态势问题指出：世界正处在大变革时期，基本特征有两个，一个是世界多极化，一个是经济全球化,https://www.dswxyjy.org.cn/GB/434461/434471/434556/index.html,对,
13,实体·事件,邓小平在会见利比里亚国家元首、武装部队总司令多伊时，介绍中国经济建设的历史经验（事件）,邓小平在会见利比里亚国家元首、武装部队总司令多伊时，介绍中国经济建设的历史经验。指出：我们现在正一心一意搞建设，力争经济有较快的发展。现在我们的国民生产总值按人口平均只有二百五十到二百六十美元。我国人口多，如果国民生产总值按人口平均每人增加,https://www.dswxyjy.org.cn/GB/434461/434466/434701/index.html,对,
14,实体·事件,毛泽东在五月二日讲话时论述文艺工作的重要性（事件）,毛泽东在五月二日讲话时论述文艺工作的重要性。讲话指出：在为中国人民解放的斗争中，有文武两个战线。我们首先要依靠手里拿枪的军队，但还要有文化的军队，这是团结自己、战胜敌人必不可少的一支军队。他强调党的文艺工作者必须从根本上解决立场、态度问题，,https://www.dswxyjy.org.cn/GB/434461/434466/434697/index.html,对,
15,实体·事件,关于这次战争的战略方针，应该是使用我们的主力在很长的变动不定的战线上作战（事件）,关于这次战争的战略方针，应该是使用我们的主力在很长的变动不定的战线上作战。中国军队要胜利，必须在广阔的战场上进行高度的运动战，迅速地前进和迅速地后退，迅速地集中和迅速地分散。这就是大规模的运动战，而不是深沟高垒、层层设防、专靠防御工事的阵地,https://www.dswxyjy.org.cn/GB/434461/434468/434650/index.html,错,截取的是讲话中的论述内容，不是一件事
16,实体·事件,中共十届二中全会召开（事件）,中共十届二中全会召开。1月5日，中共中央发出文件，任命邓小平为中共中央军委副主席兼中国人民解放军总参谋长。全会讨论了四届全国人大的准备工作，选举邓小平为中共中央副主席、中央政治局常委。,https://www.dswxyjy.org.cn/GB/434461/434462/434825/index.html,对,
17,实体·事件,在中国共产党领导和推动下，中国左翼作家联盟在上海成立（事件）,在中国共产党领导和推动下，中国左翼作家联盟在上海成立。随后中国社会科学家、戏剧家、美术家、教育家联盟以及电影、音乐小组等左翼文化团体相继成立。10月，各左翼文化团体组成中国左翼文化总同盟。共产党领导的左翼文化运动在国民党统治区兴起。 在中国,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
18,实体·事件,全国教育工作会议在北京举行，邓小平在会上讲话，要求提高教育质量，提高科学文化的教学水平（事件）,全国教育工作会议在北京举行，邓小平在会上讲话，要求提高教育质量，提高科学文化的教学水平；学校要大力加强革命秩序和革命纪律，造就具有社会主义觉悟的一代新人，促进整个社会风气的革命化；教育事业必须和国民经济发展的要求相适应；尊重教师的劳动，提高,https://www.dswxyjy.org.cn/GB/434461/434465/434748/index.html,对,
19,实体·事件,北斗三号第一、二颗组网卫星以“一箭双星”方式成功发射，标志着北斗卫星导航系统全球组网的开始（事件）,北斗三号第一、二颗组网卫星以“一箭双星”方式成功发射，标志着北斗卫星导航系统全球组网的开始。这是和美国全球定位系统(GPS)、俄罗斯格洛纳斯系统、欧洲伽利略系统并列的全球卫星导航系统。2018年12月27日，北斗三号基本系统宣告建成，并开始,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
20,实体·事件,中央政治局作出《关于成立党的军事委员会的决议》（事件）,中央政治局作出《关于成立党的军事委员会的决议》。毛泽东任中央军事委员会主席，彭德怀主持军委日常工作。,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
21,实体·事件,毛泽东写信给陕甘宁边区高等法院院长雷经天（事件）,毛泽东写信给陕甘宁边区高等法院院长雷经天。信中指出：黄克功犯了不容赦免的大罪，他失掉党的立场的，失掉革命立场的，失掉人的立场的行为，如为赦免，便无以教育党，无以教育红军，无以教育革命者，并无以教育做一个普通的人。因此中央与军委便不得不根据他,https://www.dswxyjy.org.cn/GB/434461/434471/434552/index.html,对,
22,实体·事件,全党深入学习实践科学发展观活动动员大会暨省部级主要领导干部专题研讨班开班式举行（事件）,全党深入学习实践科学发展观活动动员大会暨省部级主要领导干部专题研讨班开班式举行。中共中央决定，从2008年9月开始，用一年半左右时间，在全党分批开展深入学习实践科学发展观活动。,https://www.dswxyjy.org.cn/GB/434461/434470/434592/index.html,对,
23,实体·事件,华北人民政府结束工作，正式向中央人民政府政务院办理移交（事件）,华北人民政府结束工作，正式向中央人民政府政务院办理移交。在这个基础上，政务院各机构迅速组建起来，并立即开始工作。华北人民政府结束工作后，所辖五省二市归中央直属，另在政务院下设中央人民政府华北事务部。,https://www.dswxyjy.org.cn/GB/434461/434471/434573/index.html,对,
24,实体·事件,习近平在新加坡国立大学发表演讲（事件）,习近平在新加坡国立大学发表演讲。他强调，中国始终将周边置于外交全局的首要位置，视促进周边和平、稳定、发展为己任。中国坚持与邻为善、以邻为伴，坚持奉行睦邻、安邻、富邻的周边外交政策，坚持践行亲诚惠容的周边外交理念，坚持共同、综合、合作、可持续,https://www.dswxyjy.org.cn/GB/434461/434472/434484/index.html,对,
25,实体·文献,怎样做一个好的领导者（文献）,同日 周恩来写出向中共中央南方局干部作《怎样做一个好的领导者》的报告提纲,https://www.dswxyjy.org.cn/GB/434461/434465/434748/index.html,对,
26,实体·文献,把教育工作认真抓起来（文献）,邓小平在全国教育工作会议上的讲话中就发展教育的紧迫性问题指出：我们国家，国力的强弱，经济发展后劲的大小，越来越取决于劳动者的素质，取决于知识分子的数量和质量,https://www.dswxyjy.org.cn/GB/434461/434466/434714/index.html,对,
27,实体·文献,关于深化国有企业改革的指导意见（文献）,中共中央、国务院印发《关于深化国有企业改革的指导意见》,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
28,实体·事件,中共十六届六中全会召开（事件）,中共十六届六中全会召开。全会通过《关于构建社会主义和谐社会若干重大问题的决定》。指出，社会和谐是中国特色社会主义的本质属性，强调要按照民主法治、公平正义、诚信友爱、充满活力、安定有序、人与自然和谐相处的总要求，构建社会主义和谐社会，推动社会,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
29,实体·文献,海峡两岸空运补充协议（文献）,海峡两岸关系协会会长陈云林与台湾海峡交流基金会董事长江丙坤在南京举行会谈,https://www.dswxyjy.org.cn/GB/434461/434465/434752/index.html,对,
30,实体·事件,习近平强调，宪法的生命在于实施，宪法的权威也在于实施（事件）,习近平强调，宪法的生命在于实施，宪法的权威也在于实施。我们要坚持不懈抓好宪法实施工作，把全面贯彻实施宪法提高到一个新水平。一是要坚持正确政治方向，坚定不移走中国特色社会主义政治发展道路，坚持国家一切权力属于人民的宪法理念，发展更加广泛、更加,https://www.dswxyjy.org.cn/GB/434461/434473/434982/index.html,对,
31,实体·事件,国务院公布《优化营商环境条例》（事件）,国务院公布《优化营商环境条例》。,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
32,实体·事件,中国共产党坚持执政为民，人民对美好生活的向往就是我们的奋斗目标（事件）,中国共产党坚持执政为民，人民对美好生活的向往就是我们的奋斗目标。我的执政理念，概括起来说就是：为人民服务，担当起该担当的责任。,https://www.dswxyjy.org.cn/GB/434461/434463/434795/index.html,错,论述性表述，非可定位到时间点的事件
33,实体·事件,江泽民在中共中央纪律检查委员会第二次全体会议上讲话（事件）,江泽民在中共中央纪律检查委员会第二次全体会议上讲话。指出：建议领导干部对配偶、子女和身边的工作人员“约法三章”：一要经常对他们进行思想道德教育，提出严格的要求，防止他们利用自己的职权和影响做违纪违法的事情；二要防微杜渐，发现他们问题的苗头，,https://www.dswxyjy.org.cn/GB/434461/434462/434839/index.html,对,
34,实体·事件,中共中央政治局就五四运动的历史意义和时代价值举行第十四次集体学习（事件）,中共中央政治局就五四运动的历史意义和时代价值举行第十四次集体学习。习近平在主持学习时强调，五四运动是我国近现代史上具有里程碑意义的重大事件，五四精神是五四运动创造的宝贵精神财富。今天，我们纪念五四运动、发扬五四精神，必须加强对五四运动和五四,https://www.dswxyjy.org.cn/GB/434461/434465/434745/index.html,对,
35,实体·事件,国务院作出《关于机关事业单位工作人员养老保险制度改革的决定》（事件）,国务院作出《关于机关事业单位工作人员养老保险制度改革的决定》。,https://www.dswxyjy.org.cn/GB/434461/434462/434820/index.html,对,
36,实体·事件,中共中央政治局常委会会议专题听取有关国际金融危机情况和应采取应对措施的汇报（事件）,中共中央政治局常委会会议专题听取有关国际金融危机情况和应采取应对措施的汇报。11月5日，国务院召开常务会议，研究部署进一步扩大内需促进经济平稳较快增长的措施。此前，9月中旬，由2007年美国次贷危机引发的国际金融危机全面爆发。,https://www.dswxyjy.org.cn/GB/434461/434471/434549/index.html,对,
37,实体·事件,习近平在农村改革座谈会上强调，中国要强农业必须强，中国要美农村必须美，中国要富农民必须富（事件）,习近平在农村改革座谈会上强调，中国要强农业必须强，中国要美农村必须美，中国要富农民必须富。要坚持把解决好“三农”问题作为全党工作重中之重，加大推进新形势下农村改革力度，加强城乡统筹，全面落实强农惠农富农政策，促进农业基础稳固、农村和谐稳定、,https://www.dswxyjy.org.cn/GB/434461/434465/434751/index.html,对,
38,实体·事件,湘赣边界党的第二次代表大会通过由毛泽东起草的决议案，提出工农武装割据的思想（事件）,湘赣边界党的第二次代表大会通过由毛泽东起草的决议案，提出工农武装割据的思想。1930年1月，毛泽东在给林彪的复信(后改为《星星之火，可以燎原》)中，提出把党的工作重心由城市转到农村，开始形成农村包围城市、武装夺取政权的思想。,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
39,实体·事件,中共中央政治局召开会议，讨论改造《解放日报》的草案（事件）,中共中央政治局召开会议，讨论改造《解放日报》的草案。毛泽东发言指出：今年中央要抓住党校、党报、中宣部这三个重要部门的工作。党报是集体的宣传者与组织者，对党内党外影响极大，是最尖锐的武器。要达到改造党的目的，必须首先改造党报的工作。报社的同志,https://www.dswxyjy.org.cn/GB/434461/434464/434768/index.html,对,
40,实体·地点,江西省（地点）,,https://www.dswxyjy.org.cn/GB/434461/434462/434832/index.html,对,
41,实体·文献,关于在党员、干部、群众和青少年中开展中共党史学习教育的通知（文献）,中央组织部、中央宣传部、中央文献研究室、中央党史研究室、教育部、共青团中央联合发出《关于在党员、干部、群众和青少年中开展中共党史学习教育的通知》,https://www.dswxyjy.org.cn/GB/434461/434462/434842/index.html,对,
42,实体·事件,毛泽东和朱德、周恩来在延安机场（事件）,毛泽东和朱德、周恩来在延安机场。,https://www.dswxyjy.org.cn/GB/434461/434464/434761/index.html,错,图注短语，无谓语，构不成事件表述
43,实体·事件,中央人民政府委员会举行第二十四次会议，听取彭德怀《关于中国人民志愿军抗美援朝的工作报告》（事件）,中央人民政府委员会举行第二十四次会议，听取彭德怀《关于中国人民志愿军抗美援朝的工作报告》。毛泽东在会上发表讲话，阐明了胜利的原因和意义。讲话指出：我们的胜利是靠什么得来的呢？领导的正确是一个因素，但主要的是因为我们的战争是人民战争，全国人民,https://www.dswxyjy.org.cn/GB/434461/434470/434585/index.html,对,
44,实体·文献,中国共产党对于时局的主张（文献）,中共中央发表《中国共产党对于时局的主张》，指出解决时局的关键，是用革命手段打倒帝国主义和封建军阀，建立民主政治,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
45,实体·事件,江泽民在全国科学技术大会上的讲话中全面阐述了科教兴国战略（事件）,江泽民在全国科学技术大会上的讲话中全面阐述了科教兴国战略。他指出：科教兴国，是指全面落实科学技术是第一生产力的思想，坚持教育为本，把科技和教育摆在经济社会发展的重要位置，增强国家的科技实力及向现实生产力转化的能力，提高全民族的科技文化素质，,https://www.dswxyjy.org.cn/GB/434461/434466/434721/index.html,对,
46,实体·事件,毛泽东最后一次审定周恩来在全国财经会议的结论（事件）,毛泽东最后一次审定周恩来在全国财经会议的结论。经他多次审改的这一结论对党在过渡时期总路线作出了第一次正式的文字表述：“从中华人民共和国成立，到社会主义改造基本完成，这是一个过渡时期。党在这个过渡时期的总路线和总任务，是要在一个相当长的时期内,https://www.dswxyjy.org.cn/GB/434461/434469/434614/index.html,对,
47,实体·文献,关于统一国家财政经济工作的决定（文献）,政务院作出《关于统一国家财政经济工作的决定》，以遏制通货膨胀，稳定物价，实现国家财政收支平衡,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
48,实体·事件,第五届全国人大常委会第十五次会议批准《广东省经济特区条例》（事件）,第五届全国人大常委会第十五次会议批准《广东省经济特区条例》。,https://www.dswxyjy.org.cn/GB/434461/434469/434629/index.html,对,
49,实体·事件,中国第一条城市地铁线路——北京地下铁道一期工程正式建成通车（事件）,中国第一条城市地铁线路——北京地下铁道一期工程正式建成通车。,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
50,实体·组织,中国新民主主义青年团（组织）,中国新民主主义青年团第一次全国代表大会在北平召开,https://www.dswxyjy.org.cn/GB/434461/434465/434737/index.html,对,
51,实体·事件,刘少奇在抗大作《华北地区工作经验》的演讲，阐明坚持抗日民族统一战线要注意团结一切可能团结的力量（事件）,刘少奇在抗大作《华北地区工作经验》的演讲，阐明坚持抗日民族统一战线要注意团结一切可能团结的力量。演讲指出：华北是最复杂、矛盾最多的地方。在这种环境之下，更须用巧妙的方法团结各派别以及各军队一致抗日。因此，进行抗日民族统一战线，要采用各种各样,https://www.dswxyjy.org.cn/GB/434461/434464/434778/index.html,对,
52,实体·文献,邓小平谈什么是有中国特色的社会主义（文献）,邓小平会见前来参加第二次中日民间人士会议的日本委员会代表团时，阐述了建设有中国特色社会主义道路的基本思想,https://www.dswxyjy.org.cn/GB/434461/434467/434695/index.html,对,
53,实体·事件,政务院发出《为准备普选进行全国人口调查登记的指示》（事件）,政务院发出《为准备普选进行全国人口调查登记的指示》。以1953年6月30日24时为标准时间，全国开展人口调查登记。1954年11月1日公布调查登记结果，全国人口总数为601938035人。,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
54,实体·事件,习近平在全军院校长集训开班式上强调，强军之道，要在得人（事件）,习近平在全军院校长集训开班式上强调，强军之道，要在得人。要全面贯彻新时代军事教育方针，全面实施人才强军战略，全面深化军事院校改革创新，把培养人才摆在更加突出的位置，培养德才兼备的高素质、专业化新型军事人才。,https://www.dswxyjy.org.cn/GB/434461/434472/434504/index.html,对,
55,实体·地点,亚太地区（地点）,,https://www.dswxyjy.org.cn/GB/434461/434464/434761/index.html,错,“亚太地区”是泛指区域，不是确定地点
56,实体·事件,毛泽东为中共中央起草《关于目前形势与党的任务的决定》（事件）,毛泽东为中共中央起草《关于目前形势与党的任务的决定》。指出：日本帝国主义在国际新形势下的政策是专力进攻中国，企图解决中国问题，以准备将来扩大其对国际的冒险行动。其用以解决中国问题的方针是：一、对于占领区域，是加以确保，作为灭亡全中国的准备。,https://www.dswxyjy.org.cn/GB/434461/434471/434552/index.html,对,
57,实体·事件,中国自主研制的全部采用国产处理器构建的“神威·太湖之光”夺得世界超算冠军（事件）,中国自主研制的全部采用国产处理器构建的“神威·太湖之光”夺得世界超算冠军。,https://www.dswxyjy.org.cn/GB/434461/434467/434685/index.html,对,
58,实体·文献,关于进一步做好下岗失业人员再就业工作的通知（文献）,江泽民在全国再就业工作会议上讲话，提出就业是民生之本,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
59,实体·文献,中华人民共和国环境保护法（文献）,五届全国人大常委会第十一次会议原则通过《中华人民共和国环境保护法(试行)》,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
60,实体·事件,邓小平会见英国首相撒切尔夫人，阐述中国政府对香港问题的基本立场（事件）,邓小平会见英国首相撒切尔夫人，阐述中国政府对香港问题的基本立场。指出，主权问题不是一个可以讨论的问题。1997年中国将收回香港，不仅是新界，而且包括香港岛、九龙。 邓小平会见英国首相撒切尔夫人，阐述中国政府对香港问题的基本立场。他指出，主权,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
61,实体·文献,以稳定、安全、灵活、多元的思路筹划工作（文献）,江泽民在中央经济工作会议上的讲话中提出，要以稳定、安全、灵活、多元的思路筹划工作,https://www.dswxyjy.org.cn/GB/434461/434472/434504/index.html,对,
62,实体·文献,中国共产党的九十年（文献）,8月　经中央党史领导小组批准，由中央党史研究室编写的《中国共产党历史》上卷和《中国共产党的七十年》分别出版,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
63,实体·事件,中共中央办公厅印发《关于在全体党员中开展“学党章党规、学系列讲话，做合格党员”学习教育方案》（事件）,中共中央办公厅印发《关于在全体党员中开展“学党章党规、学系列讲话，做合格党员”学习教育方案》。2017年3月20日，中共中央办公厅印发《关于推进“两学一做”学习教育常态化制度化的意见》。,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
64,实体·文献,中华人民共和国市场主体登记管理条例（文献）,国务院常务会议通过《中华人民共和国市场主体登记管理条例》,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
65,实体·事件,蒋介石令胡宗南率大军二十五万人从南、西、北三面进攻陕北解放区（事件）,蒋介石令胡宗南率大军二十五万人从南、西、北三面进攻陕北解放区。这是国民党的全面进攻改变为向陕北、山东两翼重点进攻的开始。18日和19日，中共中央机关和边区部队主动撤出延安，开始转战陕北，以便拖住国民党军胡宗南部，为人民解放军在其他战场举行战,https://www.dswxyjy.org.cn/GB/434461/434464/434770/index.html,对,
66,实体·事件,三是坚持加大投入，强化资金支持（事件）,三是坚持加大投入，强化资金支持。脱贫攻坚，资金投入是保障。必须坚持发挥政府投入主体和主导作用，增加金融资金对脱贫攻坚的投放，发挥资本市场支持贫困地区发展作用，吸引社会资金广泛参与脱贫攻坚，形成脱贫攻坚资金多渠道、多样化投入。,https://www.dswxyjy.org.cn/GB/434461/434463/434800/index.html,错,演讲中的分条枚举片段，非事件
67,实体·组织,中国空军（组织）,中国政府宣布划设东海防空识别区，并发布航空器识别规则公告和识别区示意图,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
68,实体·事件,中国第一艘自主设计建造的航空母舰出坞下水（事件）,中国第一艘自主设计建造的航空母舰出坞下水。,https://www.dswxyjy.org.cn/GB/434461/434465/434752/index.html,对,
69,实体·文献,新时期促进集成电路产业和软件产业高质量发展的若干政策（文献）,国务院印发《国家集成电路产业发展推进纲要》，提出到2030年，集成电路产业链主要环节达到国际先进水平，实现跨越发展,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
70,实体·事件,中共中央政治局召开常委会议，讨论当前抗战形势问题（事件）,中共中央政治局召开常委会议，讨论当前抗战形势问题。毛泽东作关于中日战争形势的报告，指出：现在蒋介石与我们的估计都认为抗日战争是持久战。最近《大公报》两篇社论态度变化，认为鲁南战役是准决战，否认中日战争是持久战。我们对于中日战争的估计，过去也,https://www.dswxyjy.org.cn/GB/434461/434466/434705/index.html,对,
71,实体·地点,印度（地点）,,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
72,实体·事件,十二届全国人大常委会第十一次会议通过《关于设立国家宪法日的决定》，将12月4日设立为国家宪法日（事件）,十二届全国人大常委会第十一次会议通过《关于设立国家宪法日的决定》，将12月4日设立为国家宪法日。,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
73,实体·文献,中国共产党章程部分条文修正案（文献）,中国共产党第十三次全国代表大会举行,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
74,实体·事件,中国人民抗日军事政治大学(简称“抗大”)举行第二期开学典礼（事件）,中国人民抗日军事政治大学(简称“抗大”)举行第二期开学典礼。1月中旬，为适应抗日形势发展的需要，中革军委决定将“抗日红军大学”改名为“中国人民抗日军事政治大学”。中革军委主席毛泽东兼任抗大教育委员会主席。在开学典礼上，毛泽东发表讲话，指出：,https://www.dswxyjy.org.cn/GB/434461/434462/434838/index.html,对,
75,实体·事件,习近平在坦桑尼亚尼雷尔国际会议中心发表演讲，全面阐述新时期中非共谋和平、同促发展的政策主张（事件）,习近平在坦桑尼亚尼雷尔国际会议中心发表演讲，全面阐述新时期中非共谋和平、同促发展的政策主张。他强调，推进中非合作是双方人民共同心愿，是大势所趋、人心所向。新形势下，中非关系的重要性不是降低了而是提高了，双方共同利益不是减少了而是增多了，中方,https://www.dswxyjy.org.cn/GB/434461/434464/434782/index.html,对,
76,实体·事件,关于在黄河、淮河、运河、平汉之间创造根据地问题，毛泽东为中共中央起草致陈毅、粟裕电（事件）,关于在黄河、淮河、运河、平汉之间创造根据地问题，毛泽东为中共中央起草致陈毅、粟裕电。电报指出：在目前几个月内，西兵团人员补充主要靠俘虏，应采即俘即补方针，弹药补充主要靠取之于敌。应注意打有准备有把握之仗，同时严整军纪，争取群众，你们就一定能,https://www.dswxyjy.org.cn/GB/434461/434470/434584/index.html,对,
77,实体·文献,领导农业生产的关键所在（文献）,中共中央将《关于春耕生产给各级党委的指示》、《领导农业生产的关键所在》和《关于农业生产互助合作的决议》汇编成《当前农村工作指南》一书，发到全国,https://www.dswxyjy.org.cn/GB/434461/434465/434729/index.html,对,
78,实体·事件,毛泽东、周恩来、彭德怀等二十位红军将领联名发出《为红军愿意同东北军联合抗日致东北军全体将士书》（事件）,毛泽东、周恩来、彭德怀等二十位红军将领联名发出《为红军愿意同东北军联合抗日致东北军全体将士书》。文告指出：中国苏维埃政府与工农红军是愿意与任何抗日的武装队伍联合起来，组织国防政府与抗日联军，去同日本帝国主义直接作战的。我们愿意首先同东北军来,https://www.dswxyjy.org.cn/GB/434461/434462/434842/index.html,对,
79,实体·文献,关于县级直接选举工作问题的决定（文献）,第五届全国人大常委会第十三次会议在北京召开,https://www.dswxyjy.org.cn/GB/434461/434463/434793/index.html,对,
80,实体·事件,华国锋被任命为中共中央第一副主席、国务院总理（事件）,华国锋被任命为中共中央第一副主席、国务院总理。邓小平被错误地撤销党内外一切职务。,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
81,实体·文献,关于加强节能工作的决定（文献）,国务院作出《关于加强节能工作的决定》,https://www.dswxyjy.org.cn/GB/434461/434469/434609/index.html,对,
82,实体·文献,中国制造2025（文献）,国务院印发《中国制造2025》，提出通过“三步走”实现制造强国的战略目标,https://www.dswxyjy.org.cn/GB/434461/434466/434703/index.html,对,
83,实体·事件,毛泽东在《解放日报》发表新年祝词（事件）,毛泽东在《解放日报》发表新年祝词。祝词指出：在一九四六年，战后世界的光明面和黑暗面进行了胜利的斗争，战后中国的光明面和黑暗面也进行了胜利的斗争。战后的世界和中国都发展了争取和平与争取民主、自由的规模极大的人民运动。这个运动必然走向胜利。这个,https://www.dswxyjy.org.cn/GB/434461/434462/434818/index.html,对,
84,实体·事件,全国解放战争三大战役中历时最长、规模最大、歼敌数量最多的淮海战役，以全部歼灭杜聿明集团结束第三阶段（事件）,全国解放战争三大战役中历时最长、规模最大、歼敌数量最多的淮海战役，以全部歼灭杜聿明集团结束第三阶段。在淮海战役中，国民党军投入总兵力达80万人，人民解放军投入总兵力为60万人，是三大战役中解放军参战总兵力唯一少于国民党军的一次。在历时66天,https://www.dswxyjy.org.cn/GB/434461/434462/434827/index.html,对,
85,实体·事件,周恩来在七月四日起草的《中共中央为公布国共合作宣言》于本日送交蒋介石（事件）,周恩来在七月四日起草的《中共中央为公布国共合作宣言》于本日送交蒋介石。宣言提出：当此国难极端严重威胁民族生命存亡绝续之时，我们为着挽救祖国的危亡，希望迅速发动全民族抗战，争取中华民族之独立自由与解放，实行民权政治。同时向全国郑重宣言：愿为彻,https://www.dswxyjy.org.cn/GB/434461/434468/434649/index.html,对,
86,实体·文献,告全党同志书（文献）,中共中央发出《告全党同志书》，号召全党“为巩固国内和平，争取民主权利，实现对日抗战而斗争”，指出“在目前新阶段内，我党工作中心的一环，应该是抗日的民主运动的发展”,https://www.dswxyjy.org.cn/GB/434461/434465/434741/index.html,对,
87,实体·文献,粉碎五次“围剿”与苏维埃经济建设任务（文献）,毛泽东在瑞金召开的中央苏区南部十七县经济建设大会上作题为《粉碎五次“围剿”与苏维埃经济建设任务》的报告，着重说明经济建设对支持革命战争、发展红色区域的重大作用,https://www.dswxyjy.org.cn/GB/434461/434469/434615/index.html,对,
88,实体·事件,八路军晋察冀部队在第一二〇师配合下，粉碎2万余日军对北岳区的大“扫荡”（事件）,八路军晋察冀部队在第一二〇师配合下，粉碎2万余日军对北岳区的大“扫荡”。在黄土岭伏击战中击毙日军中将旅团长，这是抗日战争中八路军击毙的日军最高级别指挥官。,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
